puissance maximale,modele,marque,annee,carrosserie,portes,sieges,cylindree,transmission,moteur,production,position du moteur,classe,annees de production
400,288 GTO Evoluzione, Ferrari,,Coupé 2 portes,,,855,Propulsion,"2,9 L V8 biturbo, 32 soupapes",272,Central arrière longitudinal,Supercar,1984
760 à 780 ch  (567 à 582 kW),F40 LM ou F40 Racing, Ferrari,,Coupé 2-portes,,,936,Propulsion,V8 à 90° Biturbo,315,Longitudinale centrale arrière,Voiture de course,1989
255,308 GT/M, Ferrari,,Coupé & cabriolet (targa),,,926,Propulsion,"Ferrari V8 F106AB, 16 soupapes, 4 carburateurs double corps Weber 40 DCNF / injection",149,,Coupé & découvrable,1975
650,333 SP, Ferrari,,Barquette,,,3997,Propulsion,"V12, 60 soupapes[1]",40 exemplaire(s),,Sport-prototype,1994
300,348 Challenge, Ferrari,,Coupé,,,405,Propulsion,"V8 3,4 litres",8800,Centrale arrière,Coupé sport,1989
520,F50 GT,Ferrari,,Roadster,,,4698,PropulsionBoîte à 6 rapports,"V12 DOHC 4,7 L ; 60 soupapes[2]",349,,Supercar,1995
380,F355 Challenge, Ferrari,,Coupé 2 portes,,,496,Propulsion,"V8 à 90° ; 3,5 litres ; 40 S",273,Longitudinale centrale arrière,Sportive de prestige,1994
425,360 Modena Challenge,Ferrari,,"Coupé, 2 portes",,,3586,Propulsion,"V8, 3,6 L, 40 soupapes",1750,Longitudinale arrière,Sportive de prestige,2003
485,550 GT,Ferrari,,Coupé,,,5474,Propulsion,"V12, 48 soupapes",3083,,Voiture de sport Grand Tourisme,1996
425,360 GT,Ferrari,,"Coupé, 2 portes",,,3586,Propulsion,"V8, 3,6 L, 40 soupapes",1750,Longitudinale arrière,Sportive de prestige,2003
515,575 GTC, Ferrari,,Coupé 2 portes,,,5748,Propulsion,"V12 à 60°, 48 soupapes",2548,Longitudinal avant,Voiture de sport Grand Tourisme,2002
800,FXX, Ferrari,,Coupé,,,262,Propulsion,V12 à 65°2 x 2 ACT48 soupapes (4 par cylindre),30 exemplaire(s),Centrale longitudinale,Voiture de sport (circuit),2005
510,F430 Challenge, Ferrari,,Coupé,,,308,PropulsionDifférentiel piloté,"Essence V8 4,3 L à 90°, 32V",,Longitudinal arrière,Voiture de sport,2007
510,F430 GTC, Ferrari,,Coupé,,,308,PropulsionDifférentiel piloté,"Essence V8 4,3 L à 90°, 32V",,Longitudinal arrière,Voiture de sport,2007
700 ch DIN (522 kW),599XX, Ferrari,,Coupé 2-portes,,,6000,Propulsion,V12 atmosphérique,30 exemplaire(s),Avant,Supercar,2011
445,458 Challenge, Ferrari,,Coupé 2-portes,,,497,PropulsionDifférentiel électronique,"V8 central à 90° à injection directe, 32 soupapes",000,Longitudinal arrière,Voiture de sport,2013
1 050 ch,FXX K, Ferrari,,Coupé 2-portes,,,262,Propulsion,V12 + Hy-Kers + Hybride,32[1] exemplaire(s),Centrale arrière,Voiture de sport,2014
