Price,Immat,KM,Power,modele,marque,annee,couleurexterieure,interieur,couleurexterieure,typedepeinture,couleuroriginale,versionpays,interieur,carrosserie,portes,sieges,cylindree,transmission
115000,11/1990,22000,390,testarossa,ferrari,1990,rouge,,rouge,metallise,,,,coupe,2,2,4.942cm³,boîtemanuelle
119500,01/1990,58733,,testarossa,ferrari,1990,rouge,cuirbeige,rouge,,rood,,cuirbeige,coupe,2,,,boîtemanuelle
119990,01/1990,19600,389,testarossa,ferrari,1990,rouge,beige,rouge,,,,beige,coupe,2,2,4.942cm³,boîtemanuelle
125000,04/1990,43416,271,328,ferrari,1990,jaune,cuirnoir,jaune,,,italie,cuirnoir,coupe,2,2,3.185cm³,boîtemanuelle
131890,10/1990,13100,390,testarossa,ferrari,1990,rouge,cuirbeige,rouge,metallise,rood,,cuirbeige,coupe,2,,4.942cm³,boîtemanuelle
153000,06/1990,43677,370,testarossa,ferrari,1990,rouge,,rouge,,,,,coupe,,,4.909cm³,boîtemanuelle
199000,11/1990,17300,363,testarossa,ferrari,1990,rouge,cuirnoir,rouge,,,belgique,cuirnoir,coupe,2,2,4.942cm³,boîtemanuelle
1199000,02/1990,38900,479,f40,ferrari,1990,rouge,autres,rouge,,rossocorsa,,autres,coupe,,2,2.936cm³,boîtemanuelle
1250000,02/1990,28000,476,f40,ferrari,1990,rouge,tissurouge,rouge,,rossocorsa,italie,tissurouge,coupe,2,2,2.936cm³,boîtemanuelle
1390000,07/1990,12350,477,f40,ferrari,1990,rouge,cuirrouge,rouge,,rossocorsa,,cuirrouge,coupe,2,2,2.936cm³,boîtemanuelle
1395000,02/1990,16000,477,f40,ferrari,1990,rouge,tissuautres,rouge,,rot,,tissuautres,coupe,2,2,2.936cm³,boîtemanuelle
64990,09/1991,48200,300,348,ferrari,1991,jaune,,jaune,,,,,cabriolet,,,,
65000,03/1991,83000,295,348,ferrari,1991,rouge,cuirnoir,rouge,,,italie,cuirnoir,coupe,2,2,3.405cm³,boîtemanuelle
65000,10/1991,30000,295,348,ferrari,1991,rouge,,rouge,,,,,autres,2,2,3.405cm³,boîtemanuelle
100000,02/1991,58000,390,testarossa,ferrari,1991,rouge,,rouge,metallise,,,,coupe,2,2,4.942cm³,boîtemanuelle
105000,01/1991,60000,390,testarossa,ferrari,1991,rouge,,rouge,,,,,coupe,2,2,4.942cm³,boîtemanuelle
109390,07/1991,53500,390,testarossa,ferrari,1991,brun,,brun,,prugna,,,coupe,2,2,4.942cm³,boîtemanuelle
